,Forecasted Load
2025-05-17 05:15:00+02:00,14400.0
2025-05-17 05:30:00+02:00,14450.0
2025-05-17 05:45:00+02:00,14600.0
2025-05-17 06:00:00+02:00,15050.0
2025-05-17 06:15:00+02:00,15250.0
2025-05-17 06:30:00+02:00,15500.0
2025-05-17 06:45:00+02:00,15750.0
2025-05-17 07:00:00+02:00,16050.0
2025-05-17 07:15:00+02:00,16350.0
2025-05-17 07:30:00+02:00,16600.0
2025-05-17 07:45:00+02:00,16950.0
2025-05-17 08:00:00+02:00,17300.0
2025-05-17 08:15:00+02:00,17600.0
2025-05-17 08:30:00+02:00,17850.0
2025-05-17 08:45:00+02:00,18000.0
2025-05-17 09:00:00+02:00,18100.0
2025-05-17 09:15:00+02:00,18150.0
2025-05-17 09:30:00+02:00,18200.0
2025-05-17 09:45:00+02:00,18250.0
2025-05-17 10:00:00+02:00,18300.0
2025-05-17 10:15:00+02:00,18350.0
2025-05-17 10:30:00+02:00,18400.0
2025-05-17 10:45:00+02:00,18450.0
2025-05-17 11:00:00+02:00,18450.0
2025-05-17 11:15:00+02:00,18450.0
2025-05-17 11:30:00+02:00,18450.0
2025-05-17 11:45:00+02:00,18450.0
2025-05-17 12:00:00+02:00,18450.0
2025-05-17 12:15:00+02:00,18450.0
2025-05-17 12:30:00+02:00,18450.0
2025-05-17 12:45:00+02:00,18450.0
2025-05-17 13:00:00+02:00,18450.0
2025-05-17 13:15:00+02:00,18400.0
2025-05-17 13:30:00+02:00,18350.0
2025-05-17 13:45:00+02:00,18300.0
2025-05-17 14:00:00+02:00,18250.0
2025-05-17 14:15:00+02:00,18200.0
2025-05-17 14:30:00+02:00,18150.0
2025-05-17 14:45:00+02:00,18100.0
2025-05-17 15:00:00+02:00,18050.0
2025-05-17 15:15:00+02:00,18000.0
2025-05-17 15:30:00+02:00,17950.0
2025-05-17 15:45:00+02:00,17950.0
2025-05-17 16:00:00+02:00,17950.0
2025-05-17 16:15:00+02:00,17950.0
2025-05-17 16:30:00+02:00,17950.0
2025-05-17 16:45:00+02:00,17950.0
2025-05-17 17:00:00+02:00,17950.0
2025-05-17 17:15:00+02:00,17950.0
2025-05-17 17:30:00+02:00,17950.0
2025-05-17 17:45:00+02:00,17950.0
2025-05-17 18:00:00+02:00,17950.0
2025-05-17 18:15:00+02:00,17950.0
2025-05-17 18:30:00+02:00,17950.0
2025-05-17 18:45:00+02:00,18050.0
2025-05-17 19:00:00+02:00,18150.0
2025-05-17 19:15:00+02:00,18200.0
2025-05-17 19:30:00+02:00,18200.0
2025-05-17 19:45:00+02:00,18200.0
2025-05-17 20:00:00+02:00,18250.0
2025-05-17 20:15:00+02:00,18250.0
2025-05-17 20:30:00+02:00,18250.0
2025-05-17 20:45:00+02:00,18150.0
2025-05-17 21:00:00+02:00,17800.0
2025-05-17 21:15:00+02:00,17550.0
2025-05-17 21:30:00+02:00,17200.0
2025-05-17 21:45:00+02:00,16850.0
2025-05-17 22:00:00+02:00,16600.0
2025-05-17 22:15:00+02:00,16350.0
2025-05-17 22:30:00+02:00,16050.0
2025-05-17 22:45:00+02:00,15750.0
2025-05-17 23:00:00+02:00,15450.0
2025-05-17 23:15:00+02:00,15100.0
2025-05-17 23:30:00+02:00,14800.0
2025-05-17 23:45:00+02:00,14450.0
2025-05-18 00:00:00+02:00,14100.0
2025-05-18 00:15:00+02:00,13950.0
2025-05-18 00:30:00+02:00,13800.0
2025-05-18 00:45:00+02:00,13650.0
2025-05-18 01:00:00+02:00,13500.0
2025-05-18 01:15:00+02:00,13400.0
2025-05-18 01:30:00+02:00,13300.0
2025-05-18 01:45:00+02:00,13200.0
2025-05-18 02:00:00+02:00,13100.0
2025-05-18 02:15:00+02:00,13050.0
2025-05-18 02:30:00+02:00,13000.0
2025-05-18 02:45:00+02:00,12950.0
2025-05-18 03:00:00+02:00,12950.0
2025-05-18 03:15:00+02:00,12950.0
2025-05-18 03:30:00+02:00,12950.0
2025-05-18 03:45:00+02:00,12950.0
2025-05-18 04:00:00+02:00,12950.0
2025-05-18 04:15:00+02:00,12950.0
2025-05-18 04:30:00+02:00,12950.0
2025-05-18 04:45:00+02:00,12950.0
2025-05-18 05:00:00+02:00,12950.0
2025-05-18 05:15:00+02:00,12950.0
2025-05-18 05:30:00+02:00,13050.0
2025-05-18 05:45:00+02:00,13300.0
2025-05-18 06:00:00+02:00,13450.0
2025-05-18 06:15:00+02:00,13600.0
2025-05-18 06:30:00+02:00,13800.0
2025-05-18 06:45:00+02:00,14000.0
2025-05-18 07:00:00+02:00,14250.0
2025-05-18 07:15:00+02:00,14500.0
2025-05-18 07:30:00+02:00,14750.0
2025-05-18 07:45:00+02:00,15050.0
2025-05-18 08:00:00+02:00,15250.0
2025-05-18 08:15:00+02:00,15400.0
2025-05-18 08:30:00+02:00,15550.0
2025-05-18 08:45:00+02:00,15700.0
2025-05-18 09:00:00+02:00,15850.0
2025-05-18 09:15:00+02:00,16000.0
2025-05-18 09:30:00+02:00,16150.0
2025-05-18 09:45:00+02:00,16300.0
2025-05-18 10:00:00+02:00,16450.0
2025-05-18 10:15:00+02:00,16550.0
2025-05-18 10:30:00+02:00,16600.0
2025-05-18 10:45:00+02:00,16650.0
2025-05-18 11:00:00+02:00,16700.0
2025-05-18 11:15:00+02:00,16750.0
2025-05-18 11:30:00+02:00,16800.0
2025-05-18 11:45:00+02:00,16850.0
2025-05-18 12:00:00+02:00,16850.0
2025-05-18 12:15:00+02:00,16850.0
2025-05-18 12:30:00+02:00,16850.0
2025-05-18 12:45:00+02:00,16850.0
2025-05-18 13:00:00+02:00,16850.0
2025-05-18 13:15:00+02:00,16850.0
2025-05-18 13:30:00+02:00,16800.0
2025-05-18 13:45:00+02:00,16800.0
2025-05-18 14:00:00+02:00,16800.0
2025-05-18 14:15:00+02:00,16800.0
2025-05-18 14:30:00+02:00,16800.0
2025-05-18 14:45:00+02:00,16800.0
2025-05-18 15:00:00+02:00,16800.0
2025-05-18 15:15:00+02:00,16800.0
2025-05-18 15:30:00+02:00,16800.0
2025-05-18 15:45:00+02:00,16800.0
2025-05-18 16:00:00+02:00,16800.0
2025-05-18 16:15:00+02:00,16800.0
2025-05-18 16:30:00+02:00,16800.0
2025-05-18 16:45:00+02:00,16800.0
2025-05-18 17:00:00+02:00,16800.0
2025-05-18 17:15:00+02:00,16800.0
2025-05-18 17:30:00+02:00,16800.0
2025-05-18 17:45:00+02:00,16800.0
2025-05-18 18:00:00+02:00,16800.0
2025-05-18 18:15:00+02:00,16800.0
2025-05-18 18:30:00+02:00,16850.0
2025-05-18 18:45:00+02:00,16900.0
2025-05-18 19:00:00+02:00,16900.0
2025-05-18 19:15:00+02:00,16900.0
2025-05-18 19:30:00+02:00,16900.0
2025-05-18 19:45:00+02:00,16900.0
2025-05-18 20:00:00+02:00,16900.0
2025-05-18 20:15:00+02:00,16900.0
2025-05-18 20:30:00+02:00,17000.0
2025-05-18 20:45:00+02:00,17000.0
2025-05-18 21:00:00+02:00,17000.0
2025-05-18 21:15:00+02:00,17000.0
2025-05-18 21:30:00+02:00,16850.0
2025-05-18 21:45:00+02:00,16650.0
2025-05-18 22:00:00+02:00,16400.0
2025-05-18 22:15:00+02:00,16100.0
2025-05-18 22:30:00+02:00,15800.0
2025-05-18 22:45:00+02:00,15550.0
2025-05-18 23:00:00+02:00,15200.0
2025-05-18 23:15:00+02:00,14900.0
2025-05-18 23:30:00+02:00,14650.0
2025-05-18 23:45:00+02:00,14400.0
2025-05-19 00:00:00+02:00,14300.0
2025-05-19 00:15:00+02:00,14100.0
2025-05-19 00:30:00+02:00,13950.0
2025-05-19 00:45:00+02:00,13850.0
2025-05-19 01:00:00+02:00,13750.0
2025-05-19 01:15:00+02:00,13700.0
2025-05-19 01:30:00+02:00,13650.0
2025-05-19 01:45:00+02:00,13600.0
2025-05-19 02:00:00+02:00,13600.0
2025-05-19 02:15:00+02:00,13600.0
2025-05-19 02:30:00+02:00,13600.0
2025-05-19 02:45:00+02:00,13600.0
2025-05-19 03:00:00+02:00,13600.0
2025-05-19 03:15:00+02:00,13650.0
2025-05-19 03:30:00+02:00,13700.0
2025-05-19 03:45:00+02:00,13750.0
2025-05-19 04:00:00+02:00,13900.0
2025-05-19 04:15:00+02:00,14000.0
2025-05-19 04:30:00+02:00,14200.0
2025-05-19 04:45:00+02:00,14350.0
2025-05-19 05:00:00+02:00,14650.0
2025-05-19 05:15:00+02:00,14950.0
2025-05-19 05:30:00+02:00,15400.0
2025-05-19 05:45:00+02:00,16100.0
2025-05-19 06:00:00+02:00,17200.0
2025-05-19 06:15:00+02:00,17950.0
2025-05-19 06:30:00+02:00,18550.0
2025-05-19 06:45:00+02:00,19050.0
2025-05-19 07:00:00+02:00,19550.0
2025-05-19 07:15:00+02:00,20000.0
2025-05-19 07:30:00+02:00,20100.0
2025-05-19 07:45:00+02:00,20200.0
2025-05-19 08:00:00+02:00,20450.0
2025-05-19 08:15:00+02:00,20650.0
2025-05-19 08:30:00+02:00,20750.0
2025-05-19 08:45:00+02:00,20800.0
2025-05-19 09:00:00+02:00,20850.0
2025-05-19 09:15:00+02:00,20850.0
2025-05-19 09:30:00+02:00,20800.0
2025-05-19 09:45:00+02:00,20600.0
2025-05-19 10:00:00+02:00,20500.0
2025-05-19 10:15:00+02:00,20700.0
2025-05-19 10:30:00+02:00,20800.0
2025-05-19 10:45:00+02:00,20850.0
2025-05-19 11:00:00+02:00,20900.0
2025-05-19 11:15:00+02:00,20950.0
2025-05-19 11:30:00+02:00,21000.0
2025-05-19 11:45:00+02:00,21050.0
2025-05-19 12:00:00+02:00,21050.0
2025-05-19 12:15:00+02:00,21050.0
2025-05-19 12:30:00+02:00,21050.0
2025-05-19 12:45:00+02:00,21050.0
2025-05-19 13:00:00+02:00,21050.0
2025-05-19 13:15:00+02:00,21050.0
2025-05-19 13:30:00+02:00,20850.0
2025-05-19 13:45:00+02:00,20400.0
2025-05-19 14:00:00+02:00,20550.0
2025-05-19 14:15:00+02:00,20650.0
2025-05-19 14:30:00+02:00,20750.0
2025-05-19 14:45:00+02:00,20750.0
2025-05-19 15:00:00+02:00,20750.0
2025-05-19 15:15:00+02:00,20750.0
2025-05-19 15:30:00+02:00,20700.0
2025-05-19 15:45:00+02:00,20650.0
2025-05-19 16:00:00+02:00,20600.0
2025-05-19 16:15:00+02:00,20600.0
2025-05-19 16:30:00+02:00,20600.0
2025-05-19 16:45:00+02:00,20600.0
2025-05-19 17:00:00+02:00,20600.0
2025-05-19 17:15:00+02:00,20600.0
2025-05-19 17:30:00+02:00,20600.0
2025-05-19 17:45:00+02:00,20600.0
2025-05-19 18:00:00+02:00,20600.0
2025-05-19 18:15:00+02:00,20700.0
2025-05-19 18:30:00+02:00,20750.0
2025-05-19 18:45:00+02:00,20800.0
2025-05-19 19:00:00+02:00,20800.0
2025-05-19 19:15:00+02:00,20800.0
2025-05-19 19:30:00+02:00,20850.0
2025-05-19 19:45:00+02:00,20700.0
2025-05-19 20:00:00+02:00,20750.0
2025-05-19 20:15:00+02:00,20750.0
2025-05-19 20:30:00+02:00,20700.0
2025-05-19 20:45:00+02:00,20600.0
2025-05-19 21:00:00+02:00,20250.0
2025-05-19 21:15:00+02:00,19900.0
2025-05-19 21:30:00+02:00,19300.0
2025-05-19 21:45:00+02:00,18650.0
2025-05-19 22:00:00+02:00,18600.0
2025-05-19 22:15:00+02:00,18300.0
2025-05-19 22:30:00+02:00,17900.0
2025-05-19 22:45:00+02:00,17500.0
2025-05-19 23:00:00+02:00,17200.0
2025-05-19 23:15:00+02:00,16800.0
2025-05-19 23:30:00+02:00,16500.0
2025-05-19 23:45:00+02:00,16150.0
2025-05-20 00:00:00+02:00,15750.0
2025-05-20 00:15:00+02:00,15600.0
2025-05-20 00:30:00+02:00,15450.0
2025-05-20 00:45:00+02:00,15300.0
2025-05-20 01:00:00+02:00,15050.0
2025-05-20 01:15:00+02:00,14900.0
2025-05-20 01:30:00+02:00,14800.0
2025-05-20 01:45:00+02:00,14650.0
2025-05-20 02:00:00+02:00,14650.0
2025-05-20 02:15:00+02:00,14650.0
2025-05-20 02:30:00+02:00,14650.0
2025-05-20 02:45:00+02:00,14650.0
2025-05-20 03:00:00+02:00,14650.0
2025-05-20 03:15:00+02:00,14650.0
2025-05-20 03:30:00+02:00,14650.0
2025-05-20 03:45:00+02:00,14650.0
2025-05-20 04:00:00+02:00,14700.0
2025-05-20 04:15:00+02:00,14750.0
2025-05-20 04:30:00+02:00,14600.0
2025-05-20 04:45:00+02:00,14750.0
2025-05-20 05:00:00+02:00,15050.0
2025-05-20 05:15:00+02:00,15100.0
2025-05-20 05:30:00+02:00,15500.0
2025-05-20 05:45:00+02:00,15900.0
2025-05-20 06:00:00+02:00,17000.0
2025-05-20 06:15:00+02:00,17600.0
2025-05-20 06:30:00+02:00,18100.0
2025-05-20 06:45:00+02:00,18500.0
2025-05-20 07:00:00+02:00,18850.0
2025-05-20 07:15:00+02:00,19200.0
2025-05-20 07:30:00+02:00,19350.0
2025-05-20 07:45:00+02:00,19450.0
2025-05-20 08:00:00+02:00,19500.0
2025-05-20 08:15:00+02:00,19500.0
2025-05-20 08:30:00+02:00,19450.0
2025-05-20 08:45:00+02:00,19400.0
2025-05-20 09:00:00+02:00,19300.0
2025-05-20 09:15:00+02:00,19100.0
2025-05-20 09:30:00+02:00,18850.0
2025-05-20 09:45:00+02:00,18600.0
2025-05-20 10:00:00+02:00,18600.0
2025-05-20 10:15:00+02:00,18800.0
2025-05-20 10:30:00+02:00,19000.0
2025-05-20 10:45:00+02:00,19050.0
2025-05-20 11:00:00+02:00,19050.0
2025-05-20 11:15:00+02:00,19000.0
2025-05-20 11:30:00+02:00,18850.0
2025-05-20 11:45:00+02:00,19000.0
2025-05-20 12:00:00+02:00,19050.0
2025-05-20 12:15:00+02:00,19050.0
2025-05-20 12:30:00+02:00,19200.0
2025-05-20 12:45:00+02:00,19200.0
2025-05-20 13:00:00+02:00,19150.0
2025-05-20 13:15:00+02:00,18950.0
2025-05-20 13:30:00+02:00,18700.0
2025-05-20 13:45:00+02:00,18350.0
2025-05-20 14:00:00+02:00,18700.0
2025-05-20 14:15:00+02:00,18700.0
2025-05-20 14:30:00+02:00,18700.0
2025-05-20 14:45:00+02:00,18700.0
2025-05-20 15:00:00+02:00,18700.0
2025-05-20 15:15:00+02:00,18900.0
2025-05-20 15:30:00+02:00,18900.0
2025-05-20 15:45:00+02:00,18900.0
2025-05-20 16:00:00+02:00,18950.0
2025-05-20 16:15:00+02:00,19100.0
2025-05-20 16:30:00+02:00,19350.0
2025-05-20 16:45:00+02:00,19100.0
2025-05-20 17:00:00+02:00,19150.0
2025-05-20 17:15:00+02:00,19250.0
2025-05-20 17:30:00+02:00,19550.0
2025-05-20 17:45:00+02:00,19350.0
2025-05-20 18:00:00+02:00,19450.0
2025-05-20 18:15:00+02:00,19750.0
2025-05-20 18:30:00+02:00,20050.0
2025-05-20 18:45:00+02:00,19950.0
2025-05-20 19:00:00+02:00,20000.0
2025-05-20 19:15:00+02:00,20000.0
2025-05-20 19:30:00+02:00,20250.0
2025-05-20 19:45:00+02:00,20250.0
2025-05-20 20:00:00+02:00,20250.0
2025-05-20 20:15:00+02:00,20250.0
2025-05-20 20:30:00+02:00,20250.0
2025-05-20 20:45:00+02:00,20150.0
2025-05-20 21:00:00+02:00,19900.0
2025-05-20 21:15:00+02:00,19600.0
2025-05-20 21:30:00+02:00,19100.0
2025-05-20 21:45:00+02:00,18400.0
2025-05-20 22:00:00+02:00,18250.0
2025-05-20 22:15:00+02:00,18050.0
2025-05-20 22:30:00+02:00,17650.0
2025-05-20 22:45:00+02:00,17300.0
2025-05-20 23:00:00+02:00,16950.0
2025-05-20 23:15:00+02:00,16600.0
2025-05-20 23:30:00+02:00,16200.0
2025-05-20 23:45:00+02:00,15900.0
